coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"106.791,-6.58972",Wed Apr 01 05:22:19 +0000 2020,april2020 azazyn brukeyland indonesia gambarharian dailydoodle dailyart dailyillustration sketchbook sketchdaily sketcheveryday doodleart,,https://www.instagram.com/p/B-bSUdDhAep/?igshid=1xfainh9fi63u,2,1245219922419929088,,,,en,"Bogor Barat, Indonesia",false,1,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LET'S FIGHT CORONA
Full view
😎😎😎
- Azazyn, 2020 -
.
.
.
.
.
.
#april2020 #azazyn #brukeyland #indonesia #gambarharian #dailydoodle #dailyart #dailyillustration #sketchbook #sketchdaily #sketcheveryday #doodleart… https://t.co/6dMSpqRYxd",https://twitter.com/brukeyland_/status/1245219922419929088,Wed Jul 22 07:15:33 +0000 2015,brukeyland_,false,We sell t-shirts #Brukeyland from #Azazyn online. We are from #Bogor #Indonesia,531,223,1230,10,"Bogor, Jawa Barat",BRUKEYLAND INDONESIA,brukeyland_,5866,,http://tees.co.id/stores/brukeyland,false
"-2.21995447,53.47973198",Wed Apr 01 06:43:45 +0000 2020,corona,,https://www.instagram.com/p/B-bbo_nBsof/?igshid=dzv6bhbmwlcw,2,1245240418805088256,,,,en,"Manchester, England",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Tan goals, hair goals, everything 🙌
            .                         
Throwback to before #corona 🦠
Beautiful @Cath_Tyldesley wearing @fakebakeunited original spray tan by me. 🙋🏼‍♀️
To make this your quarantan… https://t.co/EthFeRzKJN",https://twitter.com/SiobhanOBeauty/status/1245240418805088256,Wed Jun 08 11:35:47 +0000 2011,SiobhanOBeauty,false,"Offering you gorgeous treatments & products in the comfort of your own home.Fake Bake, Gelish, Elite Fake Bake Tanner. siobhanobeauty@outlook.com",775,670,663,4,Prestwich Manchester,Siobhan OBeauty,SiobhanOBeauty,1883,,https://fakebake.co.uk/?rfsn=4246907.4c0f4c,false
"77.08,23.2001",Wed Apr 01 05:49:19 +0000 2020,corona time white satayamkushwha sehore smart trending holiday instagram,,https://www.instagram.com/p/B-bVaP0BdwC/?igshid=1g3vzyefb1kja,0,1245226717125521408,,,,en,"Sehore, India",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",#corona #time #white #satayamkushwha #sehore #smart #trending #holiday #instagram @ Sehore https://t.co/aPAKfuYYJ6,https://twitter.com/satayamkushwha/status/1245226717125521408,Tue Apr 05 11:42:52 +0000 2016,satayamkushwha,false,students,91,2,0,0,sehore,satayamkushwha,satayamkushwha,24,,http://satayamkushwha.com,false
"-73.87998,40.74291",Wed Apr 01 06:00:21 +0000 2020,corona covid19 virus,,https://www.instagram.com/p/B-bWrI-Az7E/?igshid=18plhbaq08vpd,0,1245229493930860544,,,,en,"Queens, NY",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Live from Epicenter Elmhurst Queens NY thank god for the angles protecting me 🤲🏾 #📸lordnezphotography #corona #covid19 #virus @ Elmhurst, Queens https://t.co/skieQ3vlQu",https://twitter.com/LordNez/status/1245229493930860544,Mon May 25 03:09:36 +0000 2009,LordNez,false,Writer/MC//Visual Dir/Designer/Neztalgic/RO.I/videomusicbox A&R consultant / Lordnez@gmail.com for all inquires,9011,4862,1572,47,"New York, NY",Lord Nez,LordNez,125967,,http://www.neztalgic.com,false
"72.79742422,19.19909304",Wed Apr 01 07:34:46 +0000 2020,coronavirus covd19 corona coronacapital19 coronavirusitalianews coronavirusoutbreak️ needgraphicdesigner mumbaikar zoozootravelaroundtheworld amazonfashion,,https://www.instagram.com/p/B-bhe0Plzoa/?igshid=1e657yavc3x1c,0,1245253257578020867,,,,en,"Mumbai, India",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Quarantine Day 10 lunch.. Almost there• • • • • #coronavirus #covd19 #corona #coronacapital19 #coronavirusitalianews #coronavirusoutbreak️ #needgraphicdesigner #mumbaikar #zoozootravelaroundtheworld #amazonfashion… https://t.co/BO286jMJ2U,https://twitter.com/zurield/status/1245253257578020867,Sat Feb 19 03:58:49 +0000 2011,zurield,false,,0,76,0,0,Alaska,zuriel dsouza,zurield,262,,,false
"36.82911158,-1.27746249",Wed Apr 01 07:10:04 +0000 2020,covid_19,,https://www.instagram.com/p/B-bepw1Fxd2/?igshid=mxv4a2ul7i4g,0,1245247041489362945,,,,en,"Nairobi, Kenya",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","PGL is the leading speed governor in Kenya, call us today on 0720750363 for installations and share the experience. Remember to stay safe and be responsible in the fight against corona virus.
#covid_19… https://t.co/KNOrkLoPJ6",https://twitter.com/PGovernors/status/1245247041489362945,Mon Oct 07 10:58:22 +0000 2013,PGovernors,false,"Saving lives is our business.Installer and supplier of Digital Speed Governors, Tracking systems ,Car Alarms and Batteries.",561,1099,1825,4,"Nairobi, Kenya",Power Governors,PGovernors,2537,,http://www.powergovernors.co.ke,false
"-0.106,51.463",Wed Apr 01 09:57:06 +0000 2020,hair haircut hairdo hairstyles hairdisaster haircare haircutting hairsos sos home homehaircut homehair corona,,https://www.instagram.com/p/B-bxxFLn4wu/?igshid=1ov32otguv1oc,0,1245289072987443201,,,,en,"Lambeth, London",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Sending out an S.O.S... The home hair cutting is not going well @gemmakiff gkstylist 💇‍♀️😩😷
#hair #haircut #hairdo #hairstyles #hairdisaster #haircare #haircutting #hairsos #sos #home #homehaircut #homehair #corona… https://t.co/G9v3rVGXAk",https://twitter.com/KayeHolland/status/1245289072987443201,Wed Jun 22 08:43:40 +0000 2011,KayeHolland,false,"Journalist (Mail/Telegraph/Times/Culture Trip/The Sun), tour guide, Liberal Democrat, Radio Harrow presenter & Watford FC supporter. Co-founder @awwcopywriting",7322,2022,1832,274,Instagram: KayeOHolland,Kaye Holland,KayeHolland,13031,,http://www.kayeholland.com,false
"-117.566,33.8753",Wed Apr 01 05:43:28 +0000 2020,hiphop remix BigLegion IMC intelligentmindedcreatures california Westcoast flex rap youtube australia,,https://www.instagram.com/p/B-bUjqGFqHK/?igshid=1a086rh54yny2,2,1245225245478436864,,,,en,"Corona, CA",false,1,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","New song is out on YouTube go check it out... #hiphop #remix #BigLegion #IMC #intelligentmindedcreatures #california #Westcoast #flex #rap #youtube #australia @ Corona, California https://t.co/Q7IjrNcSwF",https://twitter.com/bigjawn13/status/1245225245478436864,Sat May 07 19:24:09 +0000 2011,bigjawn13,false,I'm just a nobody with a whole lot of talent.... 🌎 🇲🇽🇺🇸 click the link in my bio to hear my music on any music platforms of your choosing,5825,1175,1200,16,"Corona, ca.",Big Legion,bigjawn13,44941,,https://fanlink.to/BigLegion,false
"78.29950026,30.10331251",Wed Apr 01 08:44:09 +0000 2020,rishikesh rishikeshdiaries throwback traveler travelstory travelblogger yogatravel travelstory,,https://www.instagram.com/p/B-bpCwKjJXg/?igshid=kxjmt1daefcv,1,1245270717421064193,,,,en,"Rishikesh, India",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Missing Rishikesh so so much 💞

I'm definitely going there after this Corona virus is over, where will you go?
#rishikesh #rishikeshdiaries #throwback  #traveler #travelstory #travelblogger #yogatravel  #travelstory… https://t.co/E6OMtPtzAm",https://twitter.com/pandya_urmi/status/1245270717421064193,Wed Dec 16 10:48:50 +0000 2015,pandya_urmi,false,"Owner and Founder of URMI YOGA ACADEMY



 Dance | Travel 🌍

Online Yoga class & collaboration - 📩 yogaurmi@gmail.com

Instagram- yogaurmi.india",992,643,227,1,Ahmedabad,URMI PANDYA - Yoga teacher,pandya_urmi,3689,,https://m.facebook.com/Urmi-Pandyas-world-878749328942512/,false
"73.15563,22.27315",Wed Apr 01 08:46:40 +0000 2020,covid19india corona stayhome staysafe staystrong indiafightscorona,,https://www.instagram.com/p/B-bptNCh92o/?igshid=1rn6zftosnc4g,0,1245271348399820800,,,,en,"Vododara, India",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Stay home stay Safe...It will be over soon #covid19india #corona #stayhome #staysafe #staystrong #indiafightscorona @ Your Design Interiors https://t.co/a7IcJL4BNH,https://twitter.com/urinteriodesign/status/1245271348399820800,Thu Dec 26 06:15:04 +0000 2019,urinteriodesign,false,Let us bring your design ideas to life,0,3,39,0,,Your Design Interiors,urinteriodesign,154,,,false
"73.15563,22.27315",Wed Apr 01 08:51:00 +0000 2020,covid19india corona stayhome staysafe staystrong ourpadra vadodaraclicks xuv india vad,,https://www.instagram.com/p/B-bqNBThnvA/?igshid=sfy6jpfjcapk,0,1245272441687027712,,,,en,"Vododara, India",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Stay home stay Safe...It will be over soon #covid19india #corona #stayhome #staysafe #staystrong #indiafightscorona#ourvadodara #ourpadra #vadodaraclicks #xuv #india #vad @ Your Design Interiors https://t.co/8AahBr2iMj,https://twitter.com/urinteriodesign/status/1245272441687027712,Thu Dec 26 06:15:04 +0000 2019,urinteriodesign,false,Let us bring your design ideas to life,0,3,39,0,,Your Design Interiors,urinteriodesign,154,,,false
"106.80566836,-6.22507661",Wed Apr 01 09:27:55 +0000 2020,beyootee_flower byt_whiteflower beyootee april life dirumahaja,,https://www.instagram.com/p/B-bubcNnCJG/?igshid=87ycqo9n3f80,0,1245281729578807296,,,,en,"Tanah Abang, Indonesia",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","In time before corona.⁣

#beyootee_flower #byt_whiteflower #beyootee #april #life #dirumahaja @ CIMB Niaga https://t.co/rLE2yNIJsh",https://twitter.com/RiaTumimomor/status/1245281729578807296,Fri Apr 23 15:17:14 +0000 2010,RiaTumimomor,false,IG: https://t.co/bc0z7Febwz,12091,1407,1061,61,"Jakarta Capital Region, Indone",Ria Tumimomor,RiaTumimomor,90951,,https://www.riatumimomor.com,false
